Probe Set ID	Percentile
1553127_a_at	-72.2987
1553129_at	-52.3181
1553130_at	24.8736
1553131_a_at	-73.5556
1553132_a_at	-73.8977
1553133_at	81.5439
1553134_s_at	63.6686
1553136_at	23.7783
1553137_s_at	-71.9478
1553138_a_at	-71.4064
1553139_s_at	-54.7022
1553140_at	-88.6263
1553141_at	-16.0979
1553142_at	-17.5457
1553145_at	-83.8304
1553146_at	-62.1667
1553147_at	-50.2999
1553148_a_at	93.2481
1553150_at	59.115
1553151_at	-37.5717
1553153_at	-54.7322
1553155_x_at	-45.1406
1553156_at	49.9339
1553157_at	17.6205
1553158_at	99.2429
1553159_at	-67.706
1553162_x_at	-70.994
1553163_at	-82.1304
1553165_at	75.3691
1553166_at	-68.5769
1553167_a_at	-43.1236
1553168_at	-86.3685
1553169_at	7.84364
1553171_x_at	-86.1383
1553172_at	-3.10357
1553174_at	67.399
1553175_s_at	-42.8798
1553176_at	-74.1301
1553177_at	-91.8129
1553178_a_at	20.6652
1553179_at	-77.1207
1553180_at	-67.1354
1553181_at	-94.6841
1553183_at	-56.7032
1553185_at	41.0061
1553186_x_at	39.0422
1553188_s_at	-92.1968
1553190_s_at	54.5138
1553191_at	-54.4333
1553192_at	-75.5039
1553193_at	-68.8902
1553194_at	-30.7447
1553196_a_at	-91.0723
1553197_at	-84.478
1553199_at	-77.1659
1553202_at	-57.2975
1553204_at	-82.0393
1553205_at	58.6939
1553207_at	43.851
1553208_s_at	-35.0082
1553209_at	13.308
1553211_at	-31.5375
1553212_at	-69.7419
1553213_a_at	-54.3804
1553214_a_at	-74.1135
1553215_s_at	-94.1699
1553216_at	-71.3698
1553217_s_at	-46.0772
1553218_a_at	-43.4432
1553219_a_at	-52.7149
1553220_at	-88.3297
1553221_at	-38.7119
1553222_at	92.6481
1553224_at	-35.3098
1553225_s_at	41.5538
1553226_at	-40.267
1553227_s_at	27.2679
1553228_at	-61.91
1553229_at	-26.5893
1553232_at	41.9488
1553234_at	19.6313
1553235_at	-91.3233
1553237_x_at	-74.1228
1553238_a_at	7.83774
1553239_at	34.6704
1553241_at	-72.2241
1553243_at	-52.5108
1553244_at	-53.1285
1553246_a_at	-99.4357
1553247_a_at	-21.8555
1553248_at	38.4163
1553249_at	-65.6681
1553252_a_at	87.8721
